system:index,BuiltUp,Curvature,DistRiver,Elevation,Flood,FlowAccum,HAND,LandCover,NDVI,NDWI,Slope,random,.geo
0,13.149684,1.3107452,3755.8755,25.598917,0,0.012566873,10.177879,30.0,0.5204598,-0.5474965,1.689509,0.35703215811895417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.88680752666693,9.116078334187069]}"
1,13.315194,-0.80874825,189.73666,14.691923,0,0.00930446,1.8709435,30.0,0.62144476,-0.5843581,0.94734555,0.37579949052675177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85991431569634,8.825012373539769]}"
2,0.0,22.938599,6855.837,92.57021,0,0.008452752,25.550755,30.0,0.6885832,-0.66116375,13.054238,0.3889083386697214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.12504171885861,8.640908417856549]}"
3,0.0,-8.064232,270.0,32.838337,0,0.013640944,2.7220304,30.0,0.6603102,-0.6231668,3.7159982,0.4855908374105985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.95017064836387,8.485642525151702]}"
4,0.0,-3.7536125,1390228.5,36.250538,0,0.08510293,0.35256803,30.0,0.3486742,-0.43678448,2.9928825,0.319764209536079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.756096107655,8.609796525926557]}"
5,0.0,-0.60821295,1221.188,6.1431484,0,1.24476,0.94293016,30.0,0.7461522,-0.6514457,0.53520876,0.583292078616556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.62906065450004,8.941331797055211]}"
6,0.0,-0.0069389343,1390228.5,62.32836,0,0.008440155,18.561985,30.0,0.7935285,-0.6865491,7.7524977,0.05543999127821053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.04756169836664,9.196500513524628]}"
7,0.0,0.09700537,1622.498,3.5,0,0.21623431,0.0,30.0,0.5425087,-0.480602,0.6061351,0.3819862469591706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.80204473531269,9.178679835171586]}"
8,0.0,1.6178541,1532.6448,3.0,0,0.98248607,1.0841863,90.0,0.5106539,-0.45609066,0.77456313,0.10210230445580648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.82382106941803,9.149327922598443]}"
10,1.4176161,4.0546417,1390228.5,73.9823,0,0.017507883,5.5414963,30.0,0.47965345,-0.5302742,3.9823744,0.002036805757734017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.45029227507894,9.138045170500082]}"
11,179.71915,-33.809967,9759.964,114.68017,0,0.030384442,6.525928,10.0,0.5340816,-0.5064516,1.8674233,0.5623947120233393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.11533751315508,8.678377322207384]}"
15,0.0,0.42153454,1520.855,10.14247,0,0.10913038,2.7970412,30.0,0.6101401,-0.55877036,0.35625747,0.09557767825240948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.58049632852592,8.946837825815425]}"
16,0.0,-2.7577324,1390228.5,44.525654,0,2.7073812,0.84172475,30.0,0.611464,-0.58892936,3.1170614,0.10730116270488455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.74828103526954,9.320970432108789]}"
18,0.0,-1.7813721,1390228.5,81.11431,0,0.010192654,20.326557,30.0,0.6173611,-0.5511156,1.9440407,0.5322011570285217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.96606463912595,8.94440522211227]}"
19,0.0,4.2828636,1390228.5,50.337093,0,0.03518589,13.569606,30.0,0.61752987,-0.5984252,2.629109,0.1811179167319349,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.00540186545994,9.157280498146527]}"
20,0.0,-6.142372,7430.377,30.86374,0,0.33590683,0.55879176,10.0,0.8272506,-0.7220382,1.9022249,0.30201809363233734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68019127112977,9.283934786294925]}"
21,0.0,-4.650818,8913.636,101.575745,0,0.008451573,46.275337,30.0,0.79181284,-0.7107761,15.676721,0.4356409581557078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.08157354500386,8.694210550136173]}"
22,0.0,4.600464,10143.594,67.832726,0,0.020708483,12.244783,30.0,0.6059547,-0.54900736,5.5984683,0.18938748453851606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8052308602386,8.638729337224802]}"
23,0.0,0.15900421,11317.159,47.147484,0,0.02050897,7.3928123,30.0,0.6332795,-0.6254019,1.0063292,0.10528111603417467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.96291532909119,8.88797943738788]}"
24,0.0,0.6523237,6062.45,10.903217,0,0.12602854,1.3892881,30.0,0.7000579,-0.6531532,0.28769532,0.0059998970932523266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7812624636206,8.911467364536001]}"
